date,open,high,low,close,volume,adjclose,dividends
2021-01-25,3370.0,3410.0,3310.0,3370.0,118131800,2799.010986328125,0.0
2021-01-26,3360.0,3390.0,3260.0,3260.0,111414500,2707.648681640625,0.0
2021-01-27,3340.0,3380.0,3260.0,3380.0,159144700,2807.316650390625,0.0
2021-01-28,3280.0,3330.0,3230.0,3240.0,142648800,2691.037353515625,0.0
2021-01-29,3290.0,3290.0,3110.0,3110.0,191915100,2583.063720703125,0.0
2021-02-01,3130.0,3250.0,3040.0,3230.0,133929600,2682.731689453125,0.0
2021-02-02,3300.0,3330.0,3250.0,3270.0,114734600,2715.954345703125,0.0
2021-02-03,3250.0,3330.0,3220.0,3240.0,86433900,2691.037353515625,0.0
2021-02-04,3270.0,3330.0,3260.0,3290.0,80319500,2732.565673828125,0.0
2021-02-05,3320.0,3320.0,3270.0,3290.0,52630500,2732.565673828125,0.0
2021-02-08,3300.0,3370.0,3270.0,3280.0,96635600,2724.259765625,0.0
2021-02-09,3250.0,3300.0,3180.0,3200.0,157479200,2657.814697265625,0.0
2021-02-10,3180.0,3220.0,3160.0,3190.0,125221400,2649.5087890625,0.0
2021-02-11,3220.0,3230.0,3170.0,3190.0,79940700,2649.5087890625,0.0
2021-02-15,3200.0,3260.0,3200.0,3220.0,88883300,2674.42626953125,0.0
2021-02-16,3200.0,3250.0,3190.0,3210.0,82026300,2666.1201171875,0.0
2021-02-17,3220.0,3250.0,3140.0,3150.0,121105300,2616.286376953125,0.0
2021-02-18,3190.0,3270.0,3180.0,3180.0,151200300,2641.203369140625,0.0
2021-02-19,3180.0,3220.0,3170.0,3210.0,63214600,2666.1201171875,0.0
2021-02-22,3210.0,3240.0,3170.0,3170.0,100425500,2632.897705078125,0.0
2021-02-23,3200.0,3480.0,3200.0,3470.0,354966200,2882.067626953125,0.0
2021-02-24,3490.0,3550.0,3460.0,3480.0,303017100,2890.373291015625,0.0
2021-02-25,3510.0,3570.0,3450.0,3490.0,226833000,2898.67919921875,0.0
2021-02-26,3450.0,3510.0,3410.0,3490.0,230007700,2898.67919921875,0.0
2021-03-01,3490.0,3510.0,3470.0,3490.0,91513500,2898.67919921875,0.0
2021-03-02,3490.0,3500.0,3440.0,3460.0,169061400,2873.761962890625,0.0
2021-03-03,3480.0,3480.0,3420.0,3440.0,82610700,2857.15087890625,0.0
2021-03-04,3420.0,3430.0,3350.0,3360.0,142322100,2790.705078125,0.0
2021-03-05,3340.0,3370.0,3320.0,3320.0,128546000,2757.482666015625,0.0
2021-03-08,3360.0,3400.0,3330.0,3340.0,80094900,2774.093994140625,0.0
2021-03-09,3370.0,3390.0,3280.0,3290.0,110090800,2732.565673828125,0.0
2021-03-10,3340.0,3420.0,3310.0,3400.0,91631900,2823.92822265625,0.0
2021-03-12,3440.0,3480.0,3430.0,3450.0,100195200,2865.45654296875,0.0
2021-03-15,3440.0,3450.0,3380.0,3380.0,50077300,2807.316650390625,0.0
2021-03-16,3400.0,3410.0,3360.0,3360.0,60111200,2790.705078125,0.0
2021-03-17,3410.0,3430.0,3370.0,3390.0,61701400,2815.6220703125,0.0
2021-03-18,3450.0,3480.0,3430.0,3450.0,101896400,2865.45654296875,0.0
2021-03-19,3410.0,3440.0,3380.0,3440.0,140000000,2857.15087890625,0.0
2021-03-22,3440.0,3440.0,3380.0,3380.0,53870300,2807.316650390625,0.0
2021-03-23,3390.0,3420.0,3350.0,3360.0,55323200,2790.705078125,0.0
2021-03-24,3320.0,3390.0,3320.0,3370.0,67173200,2799.010986328125,0.0
2021-03-25,3400.0,3430.0,3380.0,3410.0,107607200,2832.233642578125,0.0
2021-03-26,3410.0,3500.0,3390.0,3490.0,106810400,2898.67919921875,0.0
