date,open,high,low,close,volume,adjclose,dividends,splits
2020-06-11,8200.0,8300.0,8100.0,8200.0,19429200,6802.51611328125,0.0,0.0
2020-06-12,8200.0,8200.0,8000.0,8200.0,10835600,6802.51611328125,0.0,0.0
2020-06-15,8200.0,8300.0,8175.0,8275.0,14159100,6864.73388671875,0.0,0.0
2020-06-16,8325.0,8400.0,8250.0,8275.0,12197800,6864.73388671875,0.0,0.0
2020-06-17,8275.0,8325.0,8150.0,8275.0,10800100,6864.73388671875,0.0,0.0
2020-06-18,8225.0,8225.0,8050.0,8050.0,15200400,6678.07958984375,0.0,0.0
2020-06-19,8100.0,8150.0,8050.0,8050.0,12756000,6678.07958984375,0.0,0.0
2020-06-22,8150.0,8150.0,8025.0,8050.0,11487400,6678.07958984375,0.0,0.0
2020-06-23,8050.0,8100.0,8000.0,8000.0,5947400,6636.60107421875,0.0,0.0
2020-06-24,8050.0,8125.0,8000.0,8075.0,10739900,6698.81982421875,0.0,0.0
2020-06-25,8050.0,8100.0,7900.0,7900.0,13066500,6553.64306640625,0.0,0.0
2020-06-26,8025.0,8025.0,7825.0,7900.0,15566700,6553.64306640625,0.0,0.0
2020-06-29,7925.0,7950.0,7800.0,7925.0,11377500,6574.38232421875,0.0,0.0
2020-06-30,7925.0,8000.0,7850.0,7900.0,10394200,6553.64306640625,0.0,0.0
2020-07-01,7925.0,7950.0,7750.0,7800.0,10729600,6470.685546875,0.0,0.0
2020-07-02,7800.0,8050.0,7800.0,8050.0,15082500,6678.07958984375,0.0,0.0
2020-07-03,8000.0,8075.0,7900.0,7900.0,8394200,6553.64306640625,0.0,0.0
2020-07-06,7950.0,8000.0,7875.0,7900.0,17782600,6553.64306640625,0.0,0.0
2020-07-07,7925.0,8000.0,7850.0,7925.0,14181500,6574.38232421875,0.0,0.0
2020-07-08,7925.0,8150.0,7900.0,8100.0,19068800,6719.55810546875,0.0,0.0
2020-07-09,8100.0,8175.0,7975.0,7975.0,12857400,6615.861328125,0.0,0.0
2020-07-10,7950.0,8000.0,7925.0,7925.0,9371900,6574.38232421875,0.0,0.0
2020-07-13,7950.0,8050.0,7925.0,8025.0,7824700,6657.33984375,0.0,0.0
